P_Well  Chemical_Name	Therapeutic_Class	Therapeutic_Effect
P1_A1	Etomidate	Central Nervous System	Anesthetic
P1_A3	Azaguanine-8	Oncology	Antineoplastic
P1_A5	Allantoin	Dermatology	Antipsoriatic
P1_A7	Acetazolamide	Metabolism	Anticonvulsant
P1_A9	Metformin hydrochloride	Endocrinology	Anorectic
P1_A11	Atracurium besylate	Neuromuscular	Curarizing
P1_A13	Isoflupredone acetate	Endocrinology	Anti-inflammatory
P1_A15	Amiloride hydrochloride dihydrate	Metabolism	Antihypertensive
P1_A17	Amprolium hydrochloride	Infectiology	Anticoccidial
P1_A19	Hydrochlorothiazide	Metabolism	Antihypertensive
P1_A21	Sulfaguanidine	Infectiology	Antibacterial
P1_A23	Tridihexethyl chloride	Neuromuscular	Antispastic
P1_C1	Moricizine hydrochloride	Cardiovascular	Antiarrhythmic
P1_C3	Meticrane	Metabolism	Antihypertensive
P1_C5	Benzonatate	Neuromuscular	Antitussive
P1_C7	Hydroflumethiazide	Metabolism	Antihypertensive
P1_C9	Sulfacetamide sodic hydrate	Dermatology	Antibacterial
P1_C11	Heptaminol hydrochloride	Cardiovascular	Analeptic
P1_C13	Sulfathiazole	Infectiology	Antibacterial
P1_C15	Levodopa	Central Nervous System	Antiparkinsonian
P1_C17	Idoxuridine	Infectiology	Antiviral
P1_C19	Captopril	Cardiovascular	Antihypertensive
P1_C21	Minoxidil	Cardiovascular	Anti-alopecia
P1_C23	Iopanoic acid	Diagnostic	Contrastant
P1_E1	Phensuximide	Central Nervous System	Anticonvulsant
P1_E3	Sulfaphenazole	Infectiology	Antibacterial
P1_E5	Panthenol (D)	Metabolism	Anti-alopecia
P1_E7	Sulfadiazine	Infectiology	Antibacterial
P1_E9	Norethynodrel	Endocrinology	Contraceptive
P1_E11	Thiamphenicol	Infectiology	Antibacterial
P1_E13	Cimetidine	Gastroenterology	Antiulcer
P1_E15	Doxylamine succinate	Allergology	Anti-anorectic
P1_E17	Ethambutol dihydrochloride	Infectiology	Antibacterial
P1_E19	Antipyrine	Central Nervous System	Analgesic
P1_E21	Antipyrine, 4-hydroxy	Metabolism	Tests hepatic excretion
P1_E23	Ioxaglic acid 	Diagnostic	Contrastant
P1_G1	Imidurea	Infectiology	Antifungal
P1_G3	Chloramphenicol	Infectiology	Antibacterial
P1_G5	Epirizole	Central Nervous System	Analgesic
P1_G7	Diprophylline	Cardiovascular	Analeptic
P1_G9	Triamterene	Metabolism	Antihypertensive
P1_G11	Dapsone	Infectiology	Antibacterial
P1_G13	Troleandomycin	Infectiology	Antibacterial
P1_G15	Pyrimethamine	Infectiology	Antimalarial
P1_G17	Hexamethonium dibromide dihydrate	Cardiovascular	Antihypertensive
P1_G19	Diflunisal	Central Nervous System	Analgesic
P1_G21	Niclosamide	Infectiology	Antihelmintic
P1_G23	Lansoprazole	Metabolism	Antiulcer
P1_I1	(S)-propranolol hydrochloride	Cardiovascular	Antianginal
P1_I3	Procaine hydrochloride	Neuromuscular	Local anesthetic
P1_I5	Moxisylyte hydrochoride	Cardiovascular	Erectile dysfunction treatment
P1_I7	Betazole hydrochloride	Gastroenterology	Diagnostic
P1_I9	Isoxicam	Central Nervous System	Analgesic
P1_I11	Naproxen	Central Nervous System	Analgesic
P1_I13	Naphazoline hydrochloride	Cardiovascular	Nasal Decongestant
P1_I15	Ticlopidine hydrochloride	Hematology	Anticoagulant
P1_I17	Dicyclomine hydrochloride	Gastroenterology	Antispastic
P1_I19	Amyleine hydrochloride	Neuromuscular	Local anesthetic
P1_I21	Lidocaine hydrochloride	Cardiovascular	Antiarrhythmic
P1_I23	(-)-Eseroline fumarate salt	Central Nervous System	Analgesic
P1_K1	Spaglumic acid	Allergology	Antiallergic
P1_K3	Trichlorfon	Infectiology	Antiparasitic
P1_K5	Carbamazepine	Central Nervous System	Analgesic
P1_K7	Triflupromazine hydrochloride	Central Nervous System	Antiemetic
P1_K9	Mefenamic acid	Central Nervous System	Analgesic
P1_K11	Acetohexamide	Endocrinology	Antidiabetic
P1_K13	Sulpiride	Central Nervous System	Antidepressant
