Well	Drug_conc	Drug	Conc	Conc_full	Conc_quarter
A1	Metronidazole 1	Metronidazole	1	10	2.5
A3	Metronidazole 2	Metronidazole	2	5	1.25
A5	Metronidazole 3	Metronidazole	3	2.5	0.625
A7	Metronidazole 4	Metronidazole	4	1.25	0.3125
C1	Cycloserine D 1	Cycloserine D	1	30	7.5
C3	Cycloserine D 2	Cycloserine D	2	15	3.75
C5	Cycloserine D 3	Cycloserine D	3	7.5	1.875
C7	Cycloserine D 4	Cycloserine D	4	3.75	0.9375
E1	Meropenem 1	Meropenem	1	0.12	0.03
E3	Meropenem 2	Meropenem	2	0.06	0.015
E5	Meropenem 3	Meropenem	3	0.03	0.0075
E7	Meropenem 4	Meropenem	4	0.015	0.00375
G1	Nisin 1	Nisin	1	1	0.25
G3	Nisin 2	Nisin	2	0.5	0.125
G5	Nisin 3	Nisin	3	0.25	0.0625
G7	Nisin 4	Nisin	4	0.125	0.03125
I1	Control1 1	Control1	1	0	0
I3	Control1 2	Control1	2	0	0
I5	Control1 3	Control1	3	0	0
I7	Control1 4	Control1	4	0	0
K1	Clindamycin 1	Clindamycin	1	0.12	0.03
K3	Clindamycin 2	Clindamycin	2	0.06	0.015
K5	Clindamycin 3	Clindamycin	3	0.03	0.0075
K7	Clindamycin 4	Clindamycin	4	0.015	0.00375
M1	Puromycin 1	Puromycin	1	10	2.5
M3	Puromycin 2	Puromycin	2	5	1.25
M5	Puromycin 3	Puromycin	3	2.5	0.625
M7	Puromycin 4	Puromycin	4	1.25	0.3125
O1	Doxorubicin 1	Doxorubicin	1	5	1.25
O3	Doxorubicin 2	Doxorubicin	2	2.5	0.625
O5	Doxorubicin 3	Doxorubicin	3	1.25	0.3125
O7	Doxorubicin 4	Doxorubicin	4	0.625	0.15625
A9	Vanillin 1	Vanillin	1	200	50
A11	Vanillin 2	Vanillin	2	100	25
A13	Vanillin 3	Vanillin	3	50	12.5
A15	Vanillin 4	Vanillin	4	25	6.25
C9	Linezolid 1	Linezolid	1	0.5	0.125
C11	Linezolid 2	Linezolid	2	0.25	0.0625
C13	Linezolid 3	Linezolid	3	0.125	0.03125
C15	Linezolid 4	Linezolid	4	0.0625	0.015625
E9	Daptomycin 1	Daptomycin	1	0.5	0.125
E11	Daptomycin 2	Daptomycin	2	0.25	0.0625
E13	Daptomycin 3	Daptomycin	3	0.125	0.03125
E15	Daptomycin 4	Daptomycin	4	0.0625	0.015625
G9	Tigecycline 1	Tigecycline	1	0.06	0.015
G11	Tigecycline 2	Tigecycline	2	0.03	0.0075
G13	Tigecycline 3	Tigecycline	3	0.015	0.00375
G15	Tigecycline 4	Tigecycline	4	0.0075	0.001875
I9	Mitomycin C 1	Mitomycin C	1	0.02	0.005
I11	Mitomycin C 2	Mitomycin C	2	0.01	0.0025
I13	Mitomycin C 3	Mitomycin C	3	0.005	0.00125
I15	Mitomycin C 4	Mitomycin C	4	0.0025	0.000625
K9	CCCP 1	CCCP	1	8	2
K11	CCCP 2	CCCP	2	4	1
K13	CCCP 3	CCCP	3	2	0.5
K15	CCCP 4	CCCP	4	1	0.25
M9	Control2 1	Control2	1	0	0
M11	Control2 2	Control2	2	0	0
M13	Control2 3	Control2	3	0	0
M15	Control2 4	Control2	4	0	0
O9	Procaine 1	Procaine	1	10910.8	2727.7
O11	Procaine 2	Procaine	2	5455.4	1363.85
O13	Procaine 3	Procaine	3	2727.7	681.925
O15	Procaine 4	Procaine	4	1363.85	340.9625
A17	Moxifloxacin 1	Moxifloxacin	1	0.5	0.125
A19	Moxifloxacin 2	Moxifloxacin	2	0.25	0.0625
A21	Moxifloxacin 3	Moxifloxacin	3	0.125	0.03125
A23	Moxifloxacin 4	Moxifloxacin	4	0.0625	0.015625
C17	Nalidixic acid 1	Nalidixic acid	1	100	25
C19	Nalidixic acid 2	Nalidixic acid	2	50	12.5
C21	Nalidixic acid 3	Nalidixic acid	3	25	6.25
